Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose"
2.0443925233644857,69.20859281892909,7.073675034718383,136.87384193483734,166.19414483240118,172.02972307858028,186.8725861524657,183.8765061216723,176.40084877153825,"0.490, 0.310","0.429, 0.270","0.384, 0.355","0.417, 0.385","0.499, 0.551","0.434, 0.546","0.530, 0.723","0.417, 0.714","0.296, 0.323","0.427, 0.457","0.546, 0.868","0.411, 0.865","0.444, 0.242"
2.1174065420560746,73.37055493636447,6.949523546786913,129.7224943381198,174.94622133373966,173.3697812075926,186.55315472571303,183.45645321957556,176.42682892859918,"0.482, 0.306","0.430, 0.271","0.379, 0.344","0.417, 0.387","0.498, 0.551","0.433, 0.546","0.529, 0.722","0.417, 0.714","0.299, 0.298","0.416, 0.456","0.546, 0.868","0.411, 0.865","0.442, 0.241"
2.1904205607476634,80.80363988674742,27.382512239231144,129.04105833686208,79.409381506135,174.83527764962935,186.27565589574778,182.15522230076107,176.6377552198186,"0.475, 0.303","0.429, 0.270","0.372, 0.329","0.398, 0.333","0.496, 0.551","0.433, 0.546","0.526, 0.722","0.417, 0.713","0.301, 0.276","0.326, 0.278","0.546, 0.867","0.411, 0.864","0.436, 0.236"
2.2634345794392523,87.30186499176268,18.75323984786107,127.86154499897305,242.09764662842346,175.18243772167733,185.73691232366107,181.0481967534985,176.9253626852662,"0.471, 0.301","0.429, 0.271","0.363, 0.316","0.401, 0.355","0.493, 0.551","0.432, 0.546","0.523, 0.722","0.416, 0.714","0.304, 0.259","0.348, 0.364","0.546, 0.867","0.411, 0.864","0.428, 0.234"
2.336448598130841,94.07482980602506,53.8970611125634,120.13238011016283,110.27117790881523,176.93641994682685,185.715511484048,179.66909974305528,176.7570558784666,"0.462, 0.299","0.429, 0.270","0.348, 0.304","0.383, 0.305","0.491, 0.551","0.431, 0.547","0.521, 0.722","0.416, 0.714","0.306, 0.238","0.329, 0.269","0.546, 0.867","0.411, 0.864","0.424, 0.227"
2.4094626168224296,96.57257068946414,224.94424578128923,121.37351243796124,205.48662002186902,176.90288034986048,184.64908173642863,178.70738307731267,176.94973254054335,"0.459, 0.299","0.431, 0.267","0.355, 0.299","0.386, 0.221","0.488, 0.551","0.430, 0.546","0.518, 0.722","0.416, 0.714","0.308, 0.223","0.345, 0.206","0.546, 0.868","0.411, 0.864","0.421, 0.223"
2.482476635514018,259.17433789526206,214.92654825360802,118.62098872934835,152.4172941599629,177.15448474604122,184.25230513753587,177.8066888793121,176.60852659543494,"0.454, 0.299","0.431, 0.266","0.353, 0.292","0.405, 0.228","0.485, 0.551","0.429, 0.546","0.515, 0.721","0.414, 0.715","0.313, 0.206","0.400, 0.183","0.547, 0.869","0.411, 0.865","0.417, 0.218"
2.5554906542056073,259.3285684000265,220.60312187457936,112.88148481346106,180.9864515265465,176.35779294051474,183.808954965294,177.66551771451222,176.83933611907918,"0.454, 0.296","0.431, 0.262","0.356, 0.289","0.394, 0.218","0.483, 0.551","0.428, 0.546","0.514, 0.722","0.414, 0.717","0.327, 0.204","0.369, 0.189","0.547, 0.870","0.411, 0.866","0.414, 0.212"
2.628504672897196,255.58495906960894,217.78143412515885,106.92588586590917,190.9398550626923,177.05658301736625,183.81291406935625,177.07406523080317,176.75889370545616,"0.449, 0.293","0.430, 0.258","0.354, 0.281","0.390, 0.206","0.482, 0.551","0.427, 0.546","0.513, 0.725","0.414, 0.718","0.340, 0.198","0.368, 0.186","0.547, 0.870","0.411, 0.866","0.410, 0.211"
2.701518691588785,248.62180065156903,212.2995652608851,107.45017893865017,191.49441992139415,178.3449940850954,184.2998657673059,175.84064139507453,176.65468336820575,"0.445, 0.293","0.426, 0.259","0.353, 0.271","0.391, 0.203","0.482, 0.551","0.426, 0.546","0.511, 0.725","0.413, 0.719","0.347, 0.186","0.368, 0.179","0.547, 0.869","0.411, 0.865","0.408, 0.211"
